id;nombre_tramo;coord_init;coord_final;long;tipo_geomorfo;subtipo_detallado;tipo_playa;nivel_energia;dir_dominante;mag_estimada;fuentes_sedimento;sumideros_sedimento;balance_sedimentario;est_costeras;ev_erosion;influ_arrecifal;influ_manglar;pres_antropic;conectividad ;incertidumbre;tipo_soporte
QR-I-b-02;Costa E Contoy (barlovento);21.5180°N, 86.7920°W;21.4680°N, 86.7870°W;4,5;Costa mixta;"Alternancia erosiva-acumulativa; playa sobre plataforma rocosa; expuesta oleaje E-NE; caliza + arena bioclástica";Abierta (expuesta);Medio;"Variable (zona transición Golfo-Caribe)
Costa E (barlovento): expuesta a oleaje E-NE
Ambos regímenes contribuyen; transición hacia régimen Caribe";"Sin datos publicados de transporte para Isla Contoy.

Mecanismo: Hb ~0.5–0.8 m (barlovento E); ? ~10–20°.
Zona transición Golfo-Caribe.";"Erosión caliza; bioclastos; transporte desde N";"Offshore; transporte S";Ligeramente negativo (erosión caliza);"Sin estructuras costeras.
PN Isla Contoy; costa natural.";"Erosión moderada flanco E; sin tasas";Media (arrecife Ixlaché);"Manglar interior; aves marinas";Mínima (PN);Abierto;Alta;INTERPRETACIÓN: clasificación por posición y exposición oleaje E-NE
QR-II-00-01;"Cabo Catoche – Isla Blanca N
(tramo continental N, sin desarrollo)";21.604865°N, 87.102868°W;21.4230°N, 86.8145°W;20;Costa acumulativa;"Playa abierta baja; orientación NE-SW; transición Golfo-Caribe; arena carbonatada; dunas bajas; manglar back-barrier; sin desarrollo excepto pesca";Abierta;Bajo;"Transición E?W a N?S
— Sector N (cerca Cabo Catoche): residual del transporte westward (Appendini et al. 2012)
— Sector S (hacia Costa Mujeres): costa gira a N-S ? alisios E-SE (?=112.5°) empiezan a dominar
  ? transporte cambia a N?S (régimen Caribe)
Cabo Catoche = punto de inflexión entre los dos regímenes";"Sin datos publicados específicos para este tramo.
Appendini et al. 2012 cubre costa N Yucatán (20,000–80,000 m³/año westward) pero este tramo está en la transición hacia régimen Caribe donde el transporte cambia de E?W a N?S.
Magnitud: indeterminada sin modelación local.

Mecanismo: transición gradual; brisas + alisios; Hb ~0.5–0.8 m; Hs <0.8 m (Escudero-Castillo et al. 2018).";"Bioproducción; transporte litoral desde NW; plataforma yucateca";"Offshore; transporte SE";"Sin datos cuantitativos.
Costa poco estudiada; transición hidrodinámica gradual.
No hay evidencia geomorfológica publicada para inferir tendencia.
Balance: indeterminado";"Sin estructuras costeras documentadas.
Costa poco desarrollada entre Cabo Catoche e Isla Blanca N.";"Sin datos; costa poco estudiada; transición hidrodinámica gradual";Baja;"Manglar extenso; lagunas costeras; pastos marinos";"Baja; pesca artesanal";Abierto;Alta;INTERPRETACIÓN: Hs <0.8 m EVIDENCIA (Escudero-Castillo et al. 2018, doi:10.1016/j.ocecoaman.2017.06.001)
QR-II-00-02;"Costa Mujeres N – Boca Iglesias
(inicio desarrollo costero)";21.4230°N, 86.8145°W;21.3130°N, 86.8105°W;12;Costa acumulativa;"Playa abierta;
orientación N-S consolidándose;
arena carbonatada;
dunas bajas;
manglar fragmentado por desarrollo";Abierta;Bajo-Medio;"N?S (régimen alisios E-SE consolidado)
Costa ya orientada N-S ? oleaje ESE (?=112.5°) incide oblicuamente
Nortes: componente secundaria";"Sin datos publicados de transporte para Costa Mujeres.
Costa ya orientada N-S ? régimen alisios E-SE consolidado.
Magnitud: indeterminada sin modelación.

Mecanismo: alisios ESE (?=112.5°, Escudero et al. 2022); Hb ~0.6–0.8 m; ? ~15–25° sobre costa N-S.";"Bioproducción; transporte litoral desde N";"Transporte S; lagunas costeras";"Sin datos cuantitativos pre-desarrollo.
Desarrollo reciente Costa Mujeres puede estar alterando el balance, pero sin línea base histórica no es posible cuantificar.
Balance: indeterminado (probable alteración por desarrollo)";"Desarrollo Costa Mujeres en construcción/reciente.
Muros de contención y rampas de hoteles sobre primera línea.
No se documentan espigones ni diques exentos.
Infraestructura sobre duna costera actúa como barrera al intercambio playa-duna.
Influencia: interrupción del transporte eólico; posible reflexión de oleaje en muros.";"Sin tasas; erosión incipiente posible por desarrollo reciente";Baja;Manglar fragmentado por desarrollo;"Alta creciente;
megadesarrollos Costa Mujeres (hoteles all-inclusive);
remoción manglar";Abierto;Alta;INTERPRETACIÓN: clasificación basada en posición geográfica y desarrollo reciente
QR-II-a-01;"Playa Norte I. Mujeres
(pocket beach principal)";21.2585°N, 86.7485°W;21.2510°N, 86.7410°W;1,2;Costa acumulativa;"Playa cerrada (pocket beach) entre puntas; arena fina carbonatada; aguas calmas; protección parcial del continente; principal atractivo turístico";Cerrada (apoyada);Bajo;"N?S (débil); corriente canal";"Sin datos publicados de transporte para Isla Mujeres.
Pocket beach confinada ? transporte litoral mínimo por confinamiento lateral.

Mecanismo: Hb ~0.3–0.5 m (baja energía, sotavento); ? ~5–10° (confinamiento reduce ángulo efectivo).";"Bioproducción; erosión eolianitas; transporte residual";"Canal I.Mujeres-continente; fondos someros";"Sin datos cuantitativos.
Playa Norte históricamente estable (observación cualitativa, sin series temporales publicadas).
Confinamiento entre puntas limita intercambio ? probable equilibrio dinámico.
Balance: probablemente cercano a cero (pocket beach confinada), pero no cuantificado";"Muelles artesanales en Playa Norte Isla Mujeres.
Muelle principal de ferries al sur de la playa: estructura mayor, perpendicular.
Posible acumulación de arena en cara N del muelle (updrift si transporte es N?S);
pocket beach confinada ? efecto del muelle limitado por headlands naturales.";Playa estable históricamente;Baja-Media (arrecife Manchones al S);"Sin laguna; eolianitas como sustrato";"Extrema; turismo masivo; ferries cada ~30 min";Semi-cerrado (canal);Media;INTERPRETACIÓN: pocket beach por morfología. Eolianitas: EVIDENCIA (Ward et al. 1970)
QR-II-a-02;"Costa W I. Mujeres
(sotavento, pueblo)";21.2510°N, 86.7485°W;21.2090°N, 86.7295°W;3,8;Costa acumulativa;"Playas estrechas apoyadas en sustrato de eolianitas cuaternarias;
baja energía (sotavento);
sin plataforma arrecifal frente a costa;
perfil de playa angosto (<15 m) por proximidad de infraestructura";Apoyada;Bajo;N?S (débil);"Sin datos publicados de transporte.
Costa W sotavento ? baja energía.

Mecanismo: Hb ~0.3–0.5 m; ? ~5–10°.";"Erosión eolianitas; bioproducción local";"Fondos; canal";"Sin datos cuantitativos.
Costa W sotavento con playas estrechas pero persistentes.
Balance: indeterminado; ausencia de erosión visible sugiere equilibrio, pero sin mediciones";"Múltiples muelles de embarcaciones (ferries, lanchas) en costa W de Isla Mujeres.
Marina de Isla Mujeres.
Muros costeros en pueblo.
Influencia: costa W es sotavento de baja energía; estructuras no generan
acumulaciones significativas porque el transporte litoral ya es mínimo.";Playas W estables;"Media (MUSA; arrecife Manchones)";Sin laguna;"Alta;
pueblo turístico con infraestructura sobre primera línea costera;
ferries cada ~30 min;
marina;
1,505,643 turistas 2023 (SEDETUR)";Semi-cerrado;Media;INTERPRETACIÓN: clasificación por posición. MUSA: EVIDENCIA (documentación turística oficial)
QR-II-a-03;"Costa E I. Mujeres
(barlovento, acantilados)";21.2575°N, 86.7355°W;21.2090°N, 86.7195°W;3,5;Costa erosiva;"Costa acantilada; eolianitas cuaternarias; plataformas de abrasión; acantilados activos; sin playa permanente; SLR 3.6 mm/año";N/A (acantilados);Medio-Alto;"Variable; corrientes canal E";"Mínimo (costa erosiva rígida).
Acantilados de eolianitas ? sin playa arenosa permanente ? CERC no aplicable.
Transporte de arena litoral insignificante; dominan fragmentos gravitacionales.";"Erosión acantilados eolianitas; bioclastos";"Offshore; base acantilados";Negativo (erosión neta);"Sin estructuras costeras significativas.
Costa E de Isla Mujeres = acantilados de eolianitas;
no hay playa que proteger; sin intervención.";"Erosión activa acantilados costa E; sin tasas cuantitativas de retroceso costero";Media (arrecife somero E);"Sin manglar; eolianitas";"Moderada; circuito turístico Pta. Sur; Garrafón";Abierto;Media;EVIDENCIA: eolianitas (Ward et al. 1970). INTERPRETACIÓN: erosión activa por observación
QR-II-b-01;"Isla Blanca
(barra N de Chacmuchuc)";21.3130°N, 86.8105°W;21.2750°N, 86.8075°W;4;Costa acumulativa;"Barra arenosa / flecha litoral;
arena carbonatada;
dunas bajas;
Isla Blanca = barra arenosa elongada N-S con Laguna Chacmuchuc detrás;
forma depositacional indicadora de transporte litoral;
manglar fragmentado por desarrollo";Abierta (barrera);Bajo-Medio;N?S;"Sin datos publicados de transporte para Isla Blanca / Costa Mujeres.
Magnitud: indeterminada.

Mecanismo: alisios ESE sobre costa N-S; Hb ~0.6–0.8 m; ? ~15–25°.";"Transporte litoral desde N; bioproducción";"Lag. Chacmuchuc (overwash); transporte S";"Sin datos cuantitativos.
Desarrollo reciente puede estar induciendo erosión incipiente (sin línea base).
Balance: indeterminado (probable tendencia negativa por desarrollo)";"Zona UPDRIFT de Marina Playa Mujeres:
— Playa notablemente ancha frente a resorts Excellence / Playa Mujeres
— Acumulación de arena consistente con retención updrift (transporte N?S)
   por la escollera norte de la marina
— No se observan espigones ni diques exentos en este tramo
— Infraestructura hotelera (all-inclusive) sobre primera línea

Influencia: la marina aguas abajo (QR-II-b-02) genera efecto positivo
paradójico en este tramo — la escollera N retiene arena que de otra forma
seguiría hacia el S, ensanchando la playa de los resorts updrift.

(Análisis de imagen Google Earth, feb 2024 y mar 2025)";"Playa ancha frente a resorts (~21°14'30""N); ensanchamiento visible
por acumulación updrift de la escollera N de Marina Playa Mujeres.
Sin datos cuantitativos de tasas.";Nula;"Lag. Chacmuchuc detrás; manglar fragmentado";"Alta; megadesarrollos; remoción manglar";Semi-cerrado (barra + laguna);Alta;INTERPRETACIÓN: sistema de barrera por morfología (barra + laguna posterior)
QR-II-b-02;Costa Mujeres – Pto. Juárez;21.2750°N, 86.8075°W;21.1765°N, 86.8130°W;11;Costa acumulativa (intervenida);"Barra / sistema de barrera intervenido; marina Pto. Juárez; terminal ferries I. Mujeres; Lag. Chacmuchuc al W; desarrollo intensivo";Abierta (barrera, intervenida);Bajo-Medio;N?S;"Sin datos publicados de transporte.
Marina Pto. Juárez actúa como trampa sedimentaria (principio de ingeniería costera) ? el transporte N?S está interrumpido parcialmente.
Magnitud: indeterminada.

Mecanismo: alisios ESE; Hb ~0.6–0.8 m; ? ~15–25°; marina modifica patrón local.";"Transporte litoral desde N; bioproducción; rellenos";"Marina Playa Mujeres = trampa sedimentaria principal (retiene arena updrift);
Muelle Punta Sam = trampa parcial;
offshore durante nortes";"FUERTEMENTE NEGATIVO.
Marina Playa Mujeres intercepta suministro completo del transporte N?S.
Evidencia: 3 diques exentos sin hemitómbolo en 20 años; Puerto Juárez
sin arena (foto campo: lodo y roca, cero arena); rellenos artificiales
como única fuente de arena (Wellness Clinic 2023?2025).
Sin relleno artificial, este tramo no tiene suministro sedimentario.";"CADENA DE ESTRUCTURAS N?S — INVENTARIO COMPLETO
(Análisis Google Earth sept 2023, feb 2024, mar 2025 + fotografías de campo)

??? SECTOR COSTA MUJERES SUR (~21°14'20""–21°13'30""N) ???

1. MARINA PLAYA MUJERES (~21°14'20""N):
   — Escolleras de marina = BARRERA TOTAL al transporte N?S
   — Puerto cerrado con dársena interior
   — Cara N (updrift): playa ancha por acumulación
   — Cara S (downdrift): déficit severo; playa se estrecha abruptamente

2. DIQUE EXENTO 1 (~21°14'17""N):
   — Rompeolas exento lineal, ~80–100 m, ~60–80 m offshore
   — HEMITÓMBOLO INCIPIENTE observado detrás
   — Función: compensar déficit de marina updrift

3. DIQUE EXENTO 2 en V (~21°14'05""N):
   — Rompeolas en V abierta (diseño no convencional)
   — TÓMBOLO COMPLETO — posiblemente RELLENO ARTIFICIAL
   — Geometría en V maximiza zona de sombra (diseño intencional)

4. MUELLES PUNTA SAM (~21°13'55""N):
   — Muelle Ultracarga: estructura sólida ~150–200 m = BARRERA PARCIAL
   — Muelle de ferries adyacente

??? SECTOR WELLNESS / XTABAY (~21°13'10""–21°12'00""N) ???

5. COMPLEJO SMA WELLNESS CLINIC (~21°12'53""N):
   — Muelles menores sobre PILOTES (permeables)
   — MUELLE LARGO CON CASETA terminal: tiene GEOTUBO ENMASCARADO
     debajo de la estructura del muelle. El muelle se construyó encima
     del geotubo, disfrazando protección costera como infraestructura
     de acceso. Técnica observada también en Punta Maroma (campo CEGAM).
   — RELLENO ARTIFICIAL DE PLAYA (sept 2023 ? mar 2025):
     playa inexistente en sept 2023; presente en mar 2025.
     Terminación abrupta contra muelle/geotubo = contención lateral.
   — Implicación regulatoria: posible discrepancia muelle vs. protección costera

6. MARINA PUERTO XTABAY (~21°12'15""N):
   — CORRECCIÓN: desde satélite parecen escolleras sólidas pero son
     MUELLES DE MADERA SOBRE PILOTES (confirmado foto campo Google Earth)
   — En la BASE de los muelles: ESPIGONES OCULTOS de roca/rip-rap
     cubiertos por la plataforma del muelle
   — Mismo patrón de enmascaramiento que SMA Wellness
   — Influencia sobre transporte: MÍNIMA (espigones pequeños + déficit terminal)

7. TRES DIQUES EXENTOS (~21°12'00""–21°12'10""N):
   — 3 estructuras cortas (~20–30 m), perpendiculares, cerca de costa
   — Presentes >20 AÑOS (serie temporal Google Earth completa)
   — SIN EFECTO EN LÍNEA DE COSTA: cero hemitómbolos en 20+ años
   — FALLARON: sin suministro sedimentario no hay arena para depositar
   — Caso textbook: estructuras duras sin considerar balance = inversión inútil

??? SECTOR PUERTO JUÁREZ (~21°11'50""–21°10'50""N) ???

8. MURO QUINTAS DEL MAR / VILLAS MIRAMAR (~21°11'45""N):
   — Muro de mampostería/concreto DIRECTAMENTE SOBRE EL MAR
   — Confirmado por foto de campo: muro rojo que sobresale como
     headland artificial; socavación visible en base
   — NO hay playa frente a estas propiedades
   — El muro refleja oleaje hacia playa adyacente (Playa del Niño/Playa Blanca)
   — Funciona como espigón/headland: bloquea paso de arena N?S
   — Probablemente IRREGULAR en ZOFEMAT: propiedad privada
     construida sobre zona federal marítimo terrestre

9. PLAYA DEL NIÑO / PLAYA BLANCA (~21°11'35""N):
   — Única sección con playa funcional en todo Puerto Juárez
   — Playa existe en zona de sombra/sotavento del muro de Quintas del Mar
   — Muelles artesanales de madera (Catamarán Fragata, Pacho's Tours)
   — Playa de uso público local (familias, bañistas)
   — Ancho de playa modesto pero presente

10. FRENTE URBANO PUERTO JUÁREZ (~21°11'10""–21°11'25""N):
    — Trama urbana densa; construcciones sobre línea costera
    — Muros de casas/hoteles pequeños DIRECTAMENTE EN EL AGUA
    — Foto de campo (desde muelle N mirando costa): confirma propiedades
      construidas sobre el mar; muros de mampostería, escaleras al agua,
      palapas sobre pilotes dentro del mar
    — Sustrato visible: roca caliza/eolianitas; ARENA PRÁCTICAMENTE AUSENTE
    — No hay buffer sedimentario: oleaje rompe contra muros de casas
    — Múltiples muelles artesanales de madera/concreto perpendiculares
    — Asentamiento anterior al desarrollo turístico; creció sin planificación

11. MUELLE DE FERRIES PUERTO JUÁREZ (~21°10'55""N):
    — Terminal de ferries a Isla Mujeres: estructura de concreto ~250–300 m
    — BARRERA SIGNIFICATIVA al transporte N?S (estructura sólida pesada)
    — Ferry visible en imagen satelital (barco blanco atracado)
    — Foto campo (muelle sur): muelle de concreto pesado con barcos
      camaroneros; ribera SIN ARENA — solo lodo, materia orgánica, sargazo,
      vegetación rastrera llegando al agua
    — Confirma DÉFICIT TOTAL: sistema completamente desprovisto de arena

12. CLUB NÁUTICO / NAVARRO (~21°10'50""N):
    — Última estructura antes de Puerto Cancún (QR-II-c-01)
    — Costa estrecha; transición hacia marina Puerto Cancún

??? DIAGNÓSTICO INTEGRAL DEL TRAMO ???

CADENA COMPLETA DE DÉFICIT N?S (12 elementos en ~4 km):
Marina Playa Mujeres (barrera total) ?
  Dique 1 (hemitómbolo) ? Dique 2 en V (tómbolo/relleno) ?
    Muelle Punta Sam (barrera parcial) ?
      Relleno + geotubo oculto Wellness (compensación local) ?
        Marina Xtabay (espigones ocultos, efecto mínimo) ?
          3 diques exentos (INEFICACES, 20 años sin hemitómbolo) ?
            Muro Quintas del Mar (headland artificial) ?
              Puerto Juárez (CERO ARENA, construcciones en el mar) ?
                Muelle ferries (barrera, confirmación déficit total) ?
                  ? Puerto Cancún (QR-II-c-01)

HALLAZGOS CLAVE PARA LINEAMIENTOS:
1. Estructuras duras sin suministro sedimentario = inversión inútil (3 diques, 20 años)
2. Enmascaramiento recurrente: geotubos bajo muelles (Wellness, Xtabay, Maroma)
3. Construcción sobre ZOFEMAT: muros privados dentro del mar (Quintas del Mar, Pto. Juárez)
4. Relleno artificial como respuesta al déficit, no solución estructural (Wellness)
5. Déficit se propaga downdrift: cada intervención local desplaza el problema al vecino

COHERENCIA CON TRANSPORTE:
SÍ: déficit creciente N?S 100% consistente con transporte N?S (alisios ESE ?=112.5°).
La ineficacia de los 3 diques y la ausencia total de arena en Puerto Juárez
CONFIRMAN que la marina de Playa Mujeres intercepta el suministro completo.";"EVIDENCIA EROSIÓN/ACRECIÓN — SÍNTESIS MULTIFUENTE:

Google Earth serie temporal (sept 2023, feb 2024, mar 2025):
— Playa ancha al N de Marina Playa Mujeres (acumulación updrift)
— Estrechamiento abrupto al S (déficit downdrift)
— Hemitómbolo detrás Dique 1; tómbolo detrás Dique 2 en V
— SMA Wellness: playa creada entre 2023 y 2025 (relleno artificial confirmado)
— 3 diques exentos: CERO hemitómbolo en 20+ años de existencia
— Puerto Juárez: construcciones sobre el mar; playa inexistente

Fotografías de campo (Google Earth, usuarios):
— Muro rojo Quintas del Mar: directamente en el agua, socavación en base
— Marina Xtabay: muelles sobre pilotes con espigones ocultos en base
— Muelle S Puerto Juárez: ribera sin arena; lodo, sargazo, vegetación al agua
— Desde muelle N: propiedades sobre el mar, muros como línea de costa,
  palapas sobre pilotes en el agua, sustrato calizo sin arena

Diagnóstico: DÉFICIT TOTAL confirmado por múltiples fuentes.
Arena ausente en los últimos ~2 km del tramo (Xtabay ? Pto. Juárez).";Nula;"Lag. Chacmuchuc al W; manglar residual";"Extrema; marina; ferries; hoteles; desarrollo masivo";"Conectividad N?S COMPLETAMENTE INTERRUMPIDA:
— 12 estructuras en ~4 km interceptan secuencialmente el transporte
— Marina Playa Mujeres = barrera principal (inicio de la cadena)
— Muelle ferries Pto. Juárez = barrera terminal
— Puerto Cancún (QR-II-c-01) recibe CERO aporte sedimentario
  desde este tramo
— La costa W-E de Cancún Norte (QR-II-c) depende exclusivamente
  de brisas y nortes, sin contribución del transporte N?S";Alta;INTERPRETACIÓN: marina como trampa sedimentaria por principios ingeniería costera
QR-II-c-01;Puerto Cancún – Playa Langosta;21.1765°N, 86.8130°W;21.1430°N, 86.7975°W;2;Costa acumulativa (intervenida);"Playa abierta sin arrecife; marina Pto. Cancún = barrera artificial W; canales; golf; orientación W-E (costa mira al NORTE); protección parcial de I. Mujeres contra oleaje NE; en sombra del oleaje E-SE por la propia isla barrera N-S + Pta. Cancún";Abierta (intervenida);Medio;"Bidireccional estacional:
— Brisas marinas del E (may–oct): oleaje del E incide oblicuamente ? transporte E?W
— Nortes (nov–abr): oleaje N-NW frontal ? transporte variable / inversión
— Neto anual: probablemente E?W (consistente con régimen westward documentado al N)
— Pta. Cancún al E actúa como barrera para oleaje ESE del Caribe";"Sin datos publicados de transporte específicos para este tramo.
Costa W-E en sombra del oleaje ESE ? régimen dominado por brisas y nortes.
Puerto Cancún (marina) interrumpe transporte desde QR-II.
Magnitud: indeterminada.

Mecanismo: brisas del E (? ~15–25°) + nortes N-NW (? ~15–25°, estacional).";"Rellenos artificiales; transporte residual";"Pto. Cancún marina (trampa); offshore nortes; Lag. Nichupté (bocas)";Negativo (déficit por infraestructura);"ESTRUCTURAS COSTERAS — QR-II-c-01
(Google Earth mar 2025 + serie temporal 2019-2025 + fotos campo)

??? PUERTO CANCÚN (~21°09'30""–21°10'10""N) ???

1. ESCOLLERAS DE MARINA PUERTO CANCÚN:
   — Escolleras masivas con ACCROPODES (bloques prefabricados de concreto
     de alta resistencia, diseño de entrelazamiento para disipación de energía)
   — Ingeniería costera de primer nivel (foto campo confirma accropodes)
   — Escollera N: barrera terminal del transporte N?S de QR-II-b-02
     (Puerto Cancún no recibe aporte sedimentario del norte)
   — Escollera S/W: protege la costa W-E de QR-II-c-01

2. SEIS ROMPEOLAS EXENTOS (Diques 1-6):
   — Diques 1-5: construidos entre nov 2019 y jul 2020
     (NO existían en nov 2019; aparecen en jul 2020)
   — Dique 6: forma en V abierta, construido ~2019;
     similar al de Costa Mujeres (QR-II-b-02)
   — Distribución a lo largo de ~800-900 m de costa
   — Construidos JUNTO CON relleno artificial de playa
     = intervención integrada (diques + arena)
   — RESULTADO: arena estable después de 5 AÑOS (2020-2025)
   — Los rompeolas reducen energía suficiente para retener el relleno
   — CONTRASTE CON QR-II-b-02: los 3 diques sin arena = 20 años sin efecto;
     aquí los 6 diques CON arena = 5 años de éxito.
     LECCIÓN: diques exentos + suministro de arena = funciona;
     diques exentos sin arena = inversión inútil

??? COSTA W-E RESIDENCIAL (~21°09'10""–21°10'N) ???

3. MÚLTIPLES MUELLES DE MADERA SOBRE PILOTES:
   — 10-12 muelles visibles a lo largo de la costa residencial
   — Permeables (madera sobre pilotes); influencia individual mínima
   — Densidad alta ? efecto acumulativo posible

4. GEOTUBOS LONGITUDINALES (paralelos a costa):
   — Geotubos funcionando como MURO SUMERGIDO longitudinal
   — Foto campo: profundización visible del lado mar (hombre con motos
     acuáticas en agua profunda justo detrás del geotubo)
   — REFLEXIÓN DEL OLEAJE confirmada: socavación en base del lado mar
   — Efecto CONTRAPRODUCENTE: en costa de baja energía natural,
     los geotubos longitudinales amplifican la energía localmente
   — No retienen arena; aceleran pérdida del perfil submarino

5. MARINAS Las Perlas y Chac Chi:
   — Barreras parciales en extremos del tramo residencial

6. DINÁMICA NATURAL — BAJA ENERGÍA:
   — Foto campo: pendiente de playa muy suave; pastos marinos
     cerca de la costa = indicador de baja energía persistente
   — Costa W-E mirando al N: protegida del oleaje ESE del Caribe
   — Régimen: brisas del E (oblicuas, atenuadas) + nortes (estacionales)

EVALUACIÓN:
— Puerto Cancún: intervención bien diseñada (accropodes + diques + relleno)
— Costa residencial: geotubos longitudinales contraproducentes;
  muelles sobre pilotes aceptables; baja energía natural no requiere
  protección dura";"EVIDENCIA:
— Relleno artificial Puerto Cancún (2019-2020): estable 5 años
— Geotubos longitudinales: socavación por reflexión (foto campo)
— Pastos marinos cerca de costa: baja energía natural confirmada
— Sin datos cuantitativos de tasas de erosión/acreción";Nula;"Lag. Nichupté al S; Canal Sigfrido";"Extrema; Puerto Cancún 800 acres; marina; hoteles";Semi-cerrado (marina + laguna);Media;EVIDENCIA: orientación W-E (Silva et al. 2017, doi:10.1680/jmaen.2016.13). INTERP.: Pto. Cancún como barrera
QR-II-c-02;Playa Langosta – Playa Tortugas;21.1430°N, 86.7975°W;21.1390°N, 86.7880°W;1,2;Costa acumulativa (intervenida);"Playa abierta sin arrecife;
orientación W-E (costa mira al NORTE);
menor protección de I. Mujeres que tramo W;
en sombra del E-SE por isla barrera + Pta. Cancún;
espigones y geotubos";Abierta (intervenida);Medio;"Bidireccional estacional:
— Brisas del E: transporte E?W (dominante en verano)
— Nortes: transporte variable (dominante en invierno)
— Neto: E?W probable";"Sin datos publicados de transporte específicos.
Protección parcial de I. Mujeres documentada (Escudero-Castillo et al. 2018) ? menor energía que sección N-S.
Magnitud: indeterminada.

Mecanismo: brisas E + nortes; Hb ~0.6–0.8 m.";"Rellenos 2006 + 2010; transporte litoral";"Offshore; Pta. Cancún (divergencia)";Negativo crónico;"ESTRUCTURAS COSTERAS — QR-II-c-02
(Google Earth mar 2025 + fotos campo)

ALTA DENSIDAD DE ESTRUCTURAS ENMASCARADAS:

1. ESPIGÓN 1 ENMASCARADO debajo de muelle (~21°09'10""N):
   — Estructura impermeable oculta bajo plataforma de muelle
   — Desde satélite: parece muelle. Desde campo: espigón debajo

2. DIQUE 1 ENMASCARADO debajo de muelle:
   — EVIDENCIA DIRECTA: está generando un TÓMBOLO
   — Si fuera solo muelle permeable, no habría tómbolo
   — El tómbolo delata la función real de la estructura
   — Foto campo: playa curva formando bahía artificial = zona de sombra

3. ESPIGÓN 2 ENMASCARADO debajo de muelle:
   — Mismo patrón que espigón 1

4. ESPIGÓN DE GEOTUBOS perpendicular:
   — Geotubos funcionando como espigón (perpendicular a costa)
   — DESPLAZAMIENTO DE LÍNEA DE COSTA visible en imagen
   — Diferente a los geotubos longitudinales de QR-II-c-01

5-7. TRES MUELLES APOYADOS SOBRE BERMA (efecto espigón):
   — Muelle 5, 6 y 7: no tienen estructura oculta debajo
   — Pero la base del muelle descansa sobre la berma arenosa
     creando barrera impermeable al transporte litoral
   — CATEGORÍA NUEVA: 'muelle sobre berma = espigón de facto'
   — Efecto: bloquea transporte sin ser diseñado para ello

8. ESPIGÓN 1 CONVENCIONAL (frente a Aquamarina):
   — Espigón visible sin enmascaramiento

9. GEOTUBOS LONGITUDINALES (paralelos a costa):
   — Foto campo: geotubos expuestos con REFLEXIÓN de oleaje
   — Socavación del lado mar (profundización visible)
   — Mismo efecto contraproducente que en QR-II-c-01

10. MUROS DE HOTELES sobre primera línea

HALLAZGO PRINCIPAL: 4 TIPOS DE ENMASCARAMIENTO en un solo tramo:
  a) Espigón de roca bajo muelle (3 casos)
  b) Dique bajo muelle generando tómbolo (1 caso)
  c) Muelle sobre berma = espigón de facto (3 casos)
  d) Espigón de geotubo perpendicular (1 caso)";"EVIDENCIA:
— Tómbolo detrás de dique enmascarado (foto campo + satélite)
— Desplazamiento de línea de costa por espigón de geotubos
— Reflexión de oleaje por geotubos longitudinales (foto campo)
— Muros de hoteles sobre primera línea";Nula;Lag. Nichupté al S;"Extrema;
hoteles;
zona nightlife (Coco Bongo, Mandala);
espigones;
playa artificial";Semi-cerrado;Media;EVIDENCIA: protección parcial I. Mujeres (Escudero-Castillo et al. 2018, doi:10.1016/j.ocecoaman.2017.06.001)
